Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
27.8949,"0","35190261",DA,"3456","3519","4264","7016","35190261","3519028","5350411.08","35535","35190261",27.8949,7016,4264,251.5,695000,2160,2020,3455,425,40,155,170,40,2635,0,10,1285,1430,395,210,152.85948327472
0.0968,"0","35200271",DA,"782","3520","834","2077","35200271","3520005","5350301.04","35535","35200271",0.0968,2077,834,21456.6,600000,1230,1680,780,0,0,35,0,0,745,0,10,265,350,145,20,8615.70247933884
0.1468,"0","35200272",DA,"758","3520","847","2410","35200272","3520005","5350301.03","35535","35200272",0.1468,2410,847,16416.9,,,1800,760,0,0,0,0,0,755,0,10,295,250,200,10,5769.75476839237
0.0467,"0","35200273",DA,"1466","3520","1572","3230","35200273","3520005","5350301.03","35535","35200273",0.0467,3230,1572,69164.9,600000,2020,1880,1470,0,0,5,0,0,1460,0,0,815,565,85,0,33661.670235546
0.1458,"0","35200275",DA,"152","3520","155","431","35200275","3520005","5350301.01","35535","35200275",0.1458,431,155,2956.1,1500000,930,,150,140,0,0,10,0,0,0,0,0,0,40,120,1063.10013717421
0.1556,"0","35200279",DA,"217","3520","219","579","35200279","3520005","5350301.01","35535","35200279",0.1556,579,219,3721.1,1000000,2040,,215,105,0,110,0,0,0,0,0,0,0,120,85,1407.45501285347
0.0621,"0","35200280",DA,"322","3520","375","807","35200280","3520005","5350304.04","35535","35200280",0.0621,807,375,12995.2,,,1550,320,0,0,0,0,0,320,0,10,115,160,35,0,6038.64734299517
0.0687,"0","35200281",DA,"181","3520","190","502","35200281","3520005","5350304.04","35535","35200281",0.0687,502,190,7307.1,1200000,620,1600,180,35,0,0,5,0,140,0,0,25,90,45,25,2765.64774381368
0.0461,"0","35200284",DA,"325","3520","332","886","35200284","3520005","5350304.04","35535","35200284",0.0461,886,332,19219.1,600000,2400,1680,325,5,0,95,5,0,215,0,0,65,145,95,20,7201.73535791757
0.1777,"0","35200291",DA,"209","3520","217","584","35200291","3520005","5350304.02","35535","35200291",0.1777,584,217,3286.4,1400000,1130,,210,195,0,0,15,0,0,0,0,0,20,20,165,1221.15925717501
0.1786,"0","35200292",DA,"169","3520","172","500","35200292","3520005","5350304.03","35535","35200292",0.1786,500,172,2799.6,800000,1820,2240,170,0,0,170,0,0,0,0,0,0,0,130,35,963.045912653975
0.2601,"0","35200293",DA,"893","3520","936","2032","35200293","3520005","5350304.02","35535","35200293",0.2601,2032,936,7812.4,800000,1330,2000,890,105,0,265,5,0,515,0,0,160,350,285,105,3598.61591695502
